file_name,zip_entry_name,size,file_offset
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/hi-in/locale-data-js.gz,15901,20626015
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/id-id/locale-data-js.gz,11657,20641993
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/it-it/locale-data-js.gz,12150,20653729
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/pl-pl/locale-data-js.gz,13169,20665958
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/prebundle-css.gz,18410,20679205
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/prebundle-html.gz,12529,20697686
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/prebundle-js.gz,453727,20710289
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/pt-br/locale-data-js.gz,12251,21164087
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/ru-ru/locale-data-js.gz,16388,21176415
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/th-th/locale-data-js.gz,14838,21192880
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/tr-tr/locale-data-js.gz,12608,21207798
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/vi-vn/locale-data-js.gz,13361,21220484
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/lighterweb/zh-hant-tw/locale-data-js.gz,12992,21233925
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/OWNERS,11,21247000
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/all_activity.model.jpg,60683,21247079
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/phone_activity_cnn.model.uncompressed,248950,21307847
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/phone_activity_dnn.model.uncompressed,102876,21556894
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/phone_bar_gru_batch_for_oar_cnn.model.uncompressed,5962,21659868
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/phone_bar_gru_batch_for_oar_dnn.model.uncompressed,5962,21665942
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/phone_bar_gru_for_chre_dnn.model.uncompressed,5962,21672014
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/phone_bar_gru_non_batch_for_oar_cnn.model.uncompressed,5962,21678082
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/phone_bar_gru_non_batch_for_oar_dnn.model.uncompressed,5962,21684158
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/phone_position.model.jpg,84842,21690234
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/phone_position_in_vehicle.model.jpg,71043,21775162
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/sleep_activity_dnn.model.uncompressed,6180,21846303
/product/priv-app/PrebuiltGmsCore/PrebuiltGmsCore.apk,assets/location/armodel/two_wheeler_dnn.model.jpg,16330,21852580
