70062000-70063000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-graphics.art]
70063000-70082000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ext.art]
70082000-701cf000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-telephony-common.art]
701cf000-7026f000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-voip-common.art]
7026f000-702b8000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ims-common.art]
702b8000-7042c000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-icu4j.art]
7042c000-704c9000 r--p 00000000 fe:05 1486                               /system/framework/x86_64/boot.oat
704c9000-70788000 r-xp 0009d000 fe:05 1486                               /system/framework/x86_64/boot.oat
70788000-70789000 rw-p 00000000 00:00 0                                  [anon:.bss]
70789000-7079c000 rw-p 00000000 fe:05 1318                               /system/framework/boot.vdex
7079c000-7079d000 r--p 0035c000 fe:05 1486                               /system/framework/x86_64/boot.oat
7079d000-7079e000 rw-p 0035d000 fe:05 1486                               /system/framework/x86_64/boot.oat
7079e000-707ad000 r--p 00000000 fe:05 1459                               /system/framework/x86_64/boot-core-libart.oat
707ad000-707f4000 r-xp 0000f000 fe:05 1459                               /system/framework/x86_64/boot-core-libart.oat
707f4000-707f5000 rw-p 00000000 00:00 0                                  [anon:.bss]
707f5000-707f8000 rw-p 00000000 fe:05 1309                               /system/framework/boot-core-libart.vdex
707f8000-707f9000 r--p 00056000 fe:05 1459                               /system/framework/x86_64/boot-core-libart.oat
707f9000-707fa000 rw-p 00057000 fe:05 1459                               /system/framework/x86_64/boot-core-libart.oat
707fa000-70808000 r--p 00000000 fe:05 1477                               /system/framework/x86_64/boot-okhttp.oat
70808000-70841000 r-xp 0000e000 fe:05 1477                               /system/framework/x86_64/boot-okhttp.oat
70841000-70842000 rw-p 00000000 00:00 0                                  [anon:.bss]
