71aef000-71af0000 rw-p 00000000 00:00 0                                  [anon:.bss]
71af0000-71af9000 rw-p 00000000 fe:05 1307                               /system/framework/boot-bouncycastle.vdex
71af9000-71afa000 r--p 0001d000 fe:05 1453                               /system/framework/x86_64/boot-bouncycastle.oat
71afa000-71afb000 rw-p 0001e000 fe:05 1453                               /system/framework/x86_64/boot-bouncycastle.oat
71afb000-71afe000 r--p 00000000 fe:05 1450                               /system/framework/x86_64/boot-apache-xml.oat
71afe000-71b03000 rw-p 00000000 fe:05 1306                               /system/framework/boot-apache-xml.vdex
71b03000-71b04000 r--p 00003000 fe:05 1450                               /system/framework/x86_64/boot-apache-xml.oat
71b04000-71b05000 rw-p 00004000 fe:05 1450                               /system/framework/x86_64/boot-apache-xml.oat
71b05000-71cf8000 r--p 00000000 fe:05 1471                               /system/framework/x86_64/boot-framework.oat
71cf8000-7249c000 r-xp 001f3000 fe:05 1471                               /system/framework/x86_64/boot-framework.oat
7249c000-7249d000 rw-p 00000000 00:00 0                                  [anon:.bss]
7249d000-72533000 rw-p 00000000 fe:05 1313                               /system/framework/boot-framework.vdex
72533000-72534000 r--p 00997000 fe:05 1471                               /system/framework/x86_64/boot-framework.oat
72534000-72535000 rw-p 00998000 fe:05 1471                               /system/framework/x86_64/boot-framework.oat
72535000-72537000 r--p 00000000 fe:05 1468                               /system/framework/x86_64/boot-framework-graphics.oat
72537000-72538000 rw-p 00000000 fe:05 1312                               /system/framework/boot-framework-graphics.vdex
72538000-72539000 r--p 00002000 fe:05 1468                               /system/framework/x86_64/boot-framework-graphics.oat
72539000-7253a000 rw-p 00003000 fe:05 1468                               /system/framework/x86_64/boot-framework-graphics.oat
7253a000-7253e000 r--p 00000000 fe:05 1462                               /system/framework/x86_64/boot-ext.oat
7253e000-7254f000 r-xp 00004000 fe:05 1462                               /system/framework/x86_64/boot-ext.oat
7254f000-72550000 rw-p 00000000 fe:05 1310                               /system/framework/boot-ext.vdex
72550000-72551000 r--p 00015000 fe:05 1462                               /system/framework/x86_64/boot-ext.oat
72551000-72552000 rw-p 00016000 fe:05 1462                               /system/framework/x86_64/boot-ext.oat
72552000-72559000 r--p 00000000 fe:05 1480                               /system/framework/x86_64/boot-telephony-common.oat
72559000-72567000 rw-p 00000000 fe:05 1316                               /system/framework/boot-telephony-common.vdex
72567000-72568000 r--p 00007000 fe:05 1480                               /system/framework/x86_64/boot-telephony-common.oat
72568000-72569000 rw-p 00008000 fe:05 1480                               /system/framework/x86_64/boot-telephony-common.oat
72569000-7256c000 r--p 00000000 fe:05 1483                               /system/framework/x86_64/boot-voip-common.oat
7256c000-7256d000 r-xp 00003000 fe:05 1483                               /system/framework/x86_64/boot-voip-common.oat
7256d000-72572000 rw-p 00000000 fe:05 1317                               /system/framework/boot-voip-common.vdex
72572000-72573000 r--p 00004000 fe:05 1483                               /system/framework/x86_64/boot-voip-common.oat
72573000-72574000 rw-p 00005000 fe:05 1483                               /system/framework/x86_64/boot-voip-common.oat
72574000-72576000 r--p 00000000 fe:05 1474                               /system/framework/x86_64/boot-ims-common.oat
72576000-72578000 rw-p 00000000 fe:05 1314                               /system/framework/boot-ims-common.vdex
72578000-72579000 r--p 00002000 fe:05 1474                               /system/framework/x86_64/boot-ims-common.oat
72579000-7257a000 rw-p 00003000 fe:05 1474                               /system/framework/x86_64/boot-ims-common.oat
7257a000-725a8000 r--p 00000000 fe:05 1456                               /system/framework/x86_64/boot-core-icu4j.oat
725a8000-7268c000 r-xp 0002e000 fe:05 1456                               /system/framework/x86_64/boot-core-icu4j.oat
7268c000-7268d000 rw-p 00000000 00:00 0                                  [anon:.bss]
7268d000-72696000 rw-p 00000000 fe:05 1308                               /system/framework/boot-core-icu4j.vdex
72696000-72697000 r--p 00112000 fe:05 1456                               /system/framework/x86_64/boot-core-icu4j.oat
72697000-72698000 rw-p 00113000 fe:05 1456                               /system/framework/x86_64/boot-core-icu4j.oat
72698000-72cdd000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-adservices.art]
72cdd000-72cee000 r--p 00000000 fe:05 1465                               /system/framework/x86_64/boot-framework-adservices.oat
72cee000-72d13000 rw-p 00000000 fe:05 1311                               /system/framework/boot-framework-adservices.vdex
72d13000-72d14000 r--p 00011000 fe:05 1465                               /system/framework/x86_64/boot-framework-adservices.oat
72d14000-72d15000 rw-p 00012000 fe:05 1465                               /system/framework/x86_64/boot-framework-adservices.oat
72d15000-7333a000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
7333a000-7333b000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
7333b000-73346000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
73346000-76516000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
76516000-76d15000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
587382bc2000-587382bc4000 r--p 00000000 fe:05 240                        /system/bin/app_process64
587382bc4000-587382bc6000 r-xp 00001000 fe:05 240                        /system/bin/app_process64
587382bc6000-587382bc7000 r--p 00002000 fe:05 240                        /system/bin/app_process64
76f38b2e1000-76f38c2e1000 r--p 00000000 00:01 4175                       /memfd:child (deleted)
76f38c2e1000-76f38d2e1000 r--p 00000000 00:01 4175                       /memfd:child (deleted)
76f38d2e1000-76f38e2e1000 r--p 00000000 00:01 4175                       /memfd:child (deleted)
76f38e2e1000-76f38f2e1000 r--p 00000000 00:01 4175                       /memfd:child (deleted)
76f38f2e1000-76f3902e1000 r--p 00000000 00:01 4175                       /memfd:child (deleted)
76f3902e1000-76f3912e1000 r--p 00000000 00:01 4175                       /memfd:child (deleted)
76f3912e1000-76f3922e1000 r--p 00000000 00:01 4175                       /memfd:child (deleted)
76f3922e1000-76f3932e1000 r--p 00000000 00:01 4175                       /memfd:child (deleted)
76f3932e1000-76f3942e1000 rw-p 00000000 00:01 1013                       /memfd:main (deleted)
76f3942e1000-76f3952e1000 rw-p 00000000 00:01 1013                       /memfd:main (deleted)
76f3952e1000-76f3962e1000 rw-p 00000000 00:01 1013                       /memfd:main (deleted)
76f3962e1000-76f3972e1000 rw-p 00000000 00:01 1013                       /memfd:main (deleted)
76f3972e1000-76f3982e1000 rw-p 00000000 00:01 1013                       /memfd:main (deleted)
76f3982e1000-76f3992e1000 rw-p 00000000 00:01 1013                       /memfd:main (deleted)
76f3992e1000-76f39a2e1000 rw-p 00000000 00:01 1013                       /memfd:main (deleted)
76f39a2e1000-76f39b2e1000 rw-p 00000000 00:01 1013                       /memfd:main (deleted)
76f39b2e1000-76f39c2e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f39c2e1000-76f39d2e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f39d2e1000-76f39e2e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f39e2e1000-76f39f2e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f39f2e1000-76f3a02e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f3a02e1000-76f3a12e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f3a12e1000-76f3a22e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
